process_id,gen_num,gen_index,individual,fitness
0,1,0,3,0.019805615631682313
0,1,1,4,0.10698544904289457
0,1,2,5,0.10823893999114664
0,1,3,6,0.022353478410820703
0,1,4,7,0.05486916169208835
0,1,5,8,0.012915001307575027
0,1,6,9,0.018653977822026043
0,1,7,10,0.12478576432961315
0,1,8,11,0.10513407693834843
0,1,9,12,0.14118685074220202
0,2,0,14,0.11923581057402804
0,2,1,15,0.136770811634123
0,2,2,16,0.14747942886091228
0,2,3,17,0.11345876877664818
0,2,4,18,0.09768928929087262
0,2,5,19,0.10422871910960423
0,2,6,20,0.09053823993517718
0,2,7,21,0.10216771991356272
0,2,8,22,0.0914857096027953
0,2,9,23,0.053575911504122636
0,3,0,25,0.16237083011552014
0,3,1,26,0.1611824441998404
0,3,2,27,0.18748141988774297
0,3,3,28,0.15483160729273868
0,3,4,29,0.16475035965923954
0,3,5,30,0.16226641818186252
0,3,6,31,0.14991125119987117
0,3,7,32,0.1605521437663959
0,3,8,33,0.1577683520799398
0,3,9,34,0.17070433026243992
0,4,0,36,0.21221175548754811
0,4,1,37,0.15850901229298503
0,4,2,38,0.07142315297240058
0,4,3,39,0.14941795429214463
0,4,4,40,0.16325635803833569
0,4,5,41,0.16278289356440884
0,4,6,42,0.17663254430033934
0,4,7,43,0.1444999573695111
0,4,8,44,0.16422520632372273
0,4,9,45,0.11696388837625556
0,5,0,47,0.19439314605809882
0,5,1,48,0.050905161766186195
0,5,2,49,0.22679959885722306
0,5,3,50,0.21089053340012628
0,5,4,51,0.15951502413296428
0,5,5,52,0.2122248884150503
0,5,6,53,0.19717549223851763
0,5,7,54,0.18066716856525955
0,5,8,55,0.20288960726833022
0,5,9,56,0.29178838824291997
0,6,0,58,0.18639559911250872
0,6,1,59,0.1264574066268409
0,6,2,60,0.2627693567655957
0,6,3,61,0.2480256008249258
0,6,4,62,0.19674359214015957
0,6,5,63,0.282307542903466
0,6,6,64,0.20058411314242097
0,6,7,65,0.193303319967
0,6,8,66,0.19836153406785764
0,6,9,67,0.17923021512271808
0,7,0,69,0.2531115628251656
0,7,1,70,0.20194740500675518
0,7,2,71,0.2122544413528958
0,7,3,72,0.3982316482906023
0,7,4,73,0.2204297938620645
0,7,5,74,0.2223769480316965
0,7,6,75,0.21762755371137196
0,7,7,76,0.1945616091827203
0,7,8,77,0.18403626585297514
0,7,9,78,0.17842183921094745
0,8,0,80,0.060035030018489116
0,8,1,81,0.1295600832977016
0,8,2,82,0.15078064546123937
0,8,3,83,0.09785962326612585
0,8,4,84,0.1689171852827648
0,8,5,85,0.09341952750233717
0,8,6,86,0.1400157481739406
0,8,7,87,0.1656952725911715
0,8,8,88,0.10679612795164616
0,8,9,89,0.13127650486243767
0,9,0,91,0.25492138067060566
0,9,1,92,0.28526081709264056
0,9,2,93,0.2602846814837551
0,9,3,94,0.19913167902992204
0,9,4,95,0.1326461714090171
0,9,5,96,0.05532095929593211
0,9,6,97,0.19381000292457248
0,9,7,98,0.2619767612733076
0,9,8,99,0.1910761022310512
0,9,9,100,0.18043816203070492
0,10,0,102,0.20144446676211036
0,10,1,103,0.18228186255202553
0,10,2,104,0.17384548803589342
0,10,3,105,0.18694301728427667
0,10,4,106,0.2169520922067509
0,10,5,107,0.1490525289682705
0,10,6,108,0.2137914546642536
0,10,7,109,0.21051872089827195
0,10,8,110,0.19240333962523637
0,10,9,111,0.22082705049854023
0,11,0,113,0.1716273639193067
0,11,1,114,0.19229243863966405
0,11,2,115,0.18299096038602375
0,11,3,116,0.21418378485588424
0,11,4,117,0.20123861396846748
0,11,5,118,0.20611900360772553
0,11,6,119,0.19589756618726772
0,11,7,120,0.21528228699427437
0,11,8,121,0.2043454499922089
0,11,9,122,0.19431306475523807
0,12,0,124,0.2514808811236613
0,12,1,125,0.2308510098917491
0,12,2,126,0.21083368724681245
0,12,3,127,0.25595912667614507
0,12,4,128,0.23252464341089038
0,12,5,129,0.23078412977264345
0,12,6,130,0.21842081701658225
0,12,7,131,0.21833870015602708
0,12,8,132,0.16002292305009824
0,12,9,133,0.1448580252499975
0,13,0,135,0.17273895408596102
0,13,1,136,0.19842889428904378
0,13,2,137,0.2111278495435652
0,13,3,138,0.10470301312736463
0,13,4,139,0.029392128365556585
0,13,5,140,0.20407240612459435
0,13,6,141,0.20102755364162508
0,13,7,142,0.18667424431981663
0,13,8,143,0.20616374181773348
0,13,9,144,0.21203062118285845
0,14,0,146,0.22441819177060773
0,14,1,147,0.20798935132562715
0,14,2,148,0.21521212346701382
0,14,3,149,0.19002787527700202
0,14,4,150,0.215136578688381
0,14,5,151,0.3620751097374617
0,14,6,152,0.21112691594982025
0,14,7,153,0.2459085242994432
0,14,8,154,0.19401594668559924
0,14,9,155,0.2376019402602118
0,15,0,157,0.36533523797912465
0,15,1,158,0.05580841224244834
0,15,2,159,0.35756357588049875
0,15,3,160,0.10597909503361805
0,15,4,161,0.10533034517776307
0,15,5,162,0.11409491613285445
0,15,6,163,0.1542698836995931
0,15,7,164,0.14531478851959068
0,15,8,165,0.02926709342184703
0,15,9,166,0.35547997018354316
0,16,0,168,0.20492267757865806
0,16,1,169,0.29364479432269674
0,16,2,170,0.2026641540836205
0,16,3,171,0.09823933617782621
0,16,4,172,0.22498331081986175
0,16,5,173,0.1281757798169611
0,16,6,174,0.2754714896835285
0,16,7,175,0.22034034933049407
0,16,8,176,0.21860020159791063
0,16,9,177,0.21393308602170938
0,17,0,179,0.20475552061489194
0,17,1,180,0.22073344885686486
0,17,2,181,0.17747545415701535
0,17,3,182,0.18271782362780026
0,17,4,183,0.21851993993846852
0,17,5,184,0.20331420513541099
0,17,6,185,0.21493200121211664
0,17,7,186,0.21166377154637878
0,17,8,187,0.21031357304424872
0,17,9,188,0.22065344892456804
0,18,0,190,0.15556903897881874
0,18,1,191,0.22760455843646313
0,18,2,192,0.21639130885652277
0,18,3,193,0.23377529477392248
0,18,4,194,0.23049443016133936
0,18,5,195,0.23772616891391674
0,18,6,196,0.07463382348601433
0,18,7,197,0.21550144398808602
0,18,8,198,0.2307740984371156
0,18,9,199,0.13167663323201018
0,19,0,201,0.21270908943623065
0,19,1,202,0.21355230541283596
0,19,2,203,0.23291159673616388
0,19,3,204,0.42898866163007765
0,19,4,205,0.23800803195633624
0,19,5,206,0.24084763731922088
0,19,6,207,0.21452201416148947
0,19,7,208,0.24367135413684263
0,19,8,209,0.22051437103095978
0,19,9,210,0.2285710706167413
0,20,0,212,0.49221670050070004
0,20,1,213,0.08099121265657229
0,20,2,214,0.1984962490817003
0,20,3,215,0.07681159477074556
0,20,4,216,0.40778464879989273
0,20,5,217,0.08199334674563707
0,20,6,218,0.40155621186091295
0,20,7,219,0.06440277996629154
0,20,8,220,0.3316022544533409
0,20,9,221,0.07045231361919328
0,21,0,223,0.15768017465707101
0,21,1,224,0.19876975991909432
0,21,2,225,0.21852389748370282
0,21,3,226,0.21984166885980133
0,21,4,227,0.1861371308327978
0,21,5,228,0.26985028818718365
0,21,6,229,0.15365322258072525
0,21,7,230,0.2164569484818057
0,21,8,231,0.1233774826355911
0,21,9,232,0.22959415017192653
0,22,0,234,0.2319669875593558
0,22,1,235,0.22842060416855145
0,22,2,236,0.25392700328759854
0,22,3,237,0.22641217849707057
0,22,4,238,0.23236957541175823
0,22,5,239,0.24000516813727457
0,22,6,240,0.23408275666547715
0,22,7,241,0.23042915669447986
0,22,8,242,0.22135103287567914
0,22,9,243,0.2245164703189584
0,23,0,245,0.12304019848906698
0,23,1,246,0.07138039003467134
0,23,2,247,0.04722219091514295
0,23,3,248,0.021081972255688693
0,23,4,249,0.2246498182104799
0,23,5,250,0.05799833990285611
0,23,6,251,0.0734803126494613
0,23,7,252,0.06939335689761791
0,23,8,253,0.13678630442789644
0,23,9,254,0.04548470927588841
0,24,0,256,0.23394644167568776
0,24,1,257,0.2516824674302307
0,24,2,258,0.2075359678357261
0,24,3,259,0.2488055732436714
0,24,4,260,0.2269945620685211
0,24,5,261,0.2290672194073658
0,24,6,262,0.22707058454987783
0,24,7,263,0.22268816946001221
0,24,8,264,0.23847536316320106
0,24,9,265,0.2327472528704575
0,25,0,267,0.32663134185631526
0,25,1,268,0.2446298279125276
0,25,2,269,0.32391191587570084
0,25,3,270,0.13605709689814866
0,25,4,271,0.16702617269489733
0,25,5,272,0.24520574855479202
0,25,6,273,0.2650639125656846
0,25,7,274,0.26093499629097844
0,25,8,275,0.16362653511475597
0,25,9,276,0.29759289591045485
0,26,0,278,0.28693358531926244
0,26,1,279,0.2886368470660379
0,26,2,280,0.24600284365465933
0,26,3,281,0.27833121626217444
0,26,4,282,0.2957648694414195
0,26,5,283,0.28182546066559416
0,26,6,284,0.2130555149395556
0,26,7,285,0.22612696255966344
0,26,8,286,0.2315862626530226
0,26,9,287,0.2543589901034844
0,27,0,289,0.1273341859449016
0,27,1,290,0.02395274187013368
0,27,2,291,0.2378337326750666
0,27,3,292,0.05941950880586206
0,27,4,293,0.042062876140766946
0,27,5,294,0.3059133875970093
0,27,6,295,0.24033432269321967
0,27,7,296,0.043366846897239665
0,27,8,297,0.10366803329051749
0,27,9,298,0.45503838884658565
0,28,0,300,0.2470308626266438
0,28,1,301,0.1292451963013915
0,28,2,302,0.2676034073731142
0,28,3,303,0.49185632549371744
0,28,4,304,0.23628900502164513
0,28,5,305,0.2765261862006239
0,28,6,306,0.2176381223737295
0,28,7,307,0.15798409084010878
0,28,8,308,0.1557003792815196
0,28,9,309,0.14850330717921148
0,29,0,311,0.2004075638290026
0,29,1,312,0.4226674838906326
0,29,2,313,0.12462024109093148
0,29,3,314,0.15420359066624165
0,29,4,315,0.18732944264141987
0,29,5,316,0.6170188179580858
0,29,6,317,0.23290667731190823
0,29,7,318,0.10854757891355907
0,29,8,319,0.5716779339297626
0,29,9,320,0.5476334994741742
0,30,0,322,0.06804526379768625
0,30,1,323,0.3279742488859555
0,30,2,324,0.22525752613176067
0,30,3,325,0.3221972777329576
0,30,4,326,0.4118580189653898
0,30,5,327,0.08879403145199347
0,30,6,328,0.12062240959937108
0,30,7,329,0.431072173161939
0,30,8,330,0.10819958011639895
0,30,9,331,0.2489892016431683
